site,TIMESTAMP,GPP_NT_VUT_REF,TA_F,VPD_F,SW_IN_F,PA_F,P_F,WS_F,LE_F_MDS,H_F_MDS,PPFD_IN,NETRAD
US-Var,2000-10-23,2.6224,15.701,13.275,144.241,99.323,0.0,1.491,36.6987,15.8514,320.5364375,31.4075
US-Var,2000-10-24,2.91881,17.417,13.553,145.474,99.766,0.0,1.271,35.0201,15.1848,323.2747708333333,32.93833333333333
US-Var,2000-10-25,2.34361,12.739,3.778,151.173,99.274,9.4,1.507,27.9223,19.6019,335.93997916666666,-17.70916666666667
US-Var,2000-10-26,2.53444,11.951,1.259,145.879,98.674,12.71,1.061,24.5069,17.9867,324.1753166666667,-6.443104166666667
US-Var,2000-10-27,2.73883,13.275,0.054,143.659,98.925,0.25,1.038,26.5328,19.5727,319.24303333333336,43.10791666666668
US-Var,2000-10-28,2.61217,11.929,0.05,134.775,99.231,35.8,1.914,24.8949,17.4882,299.4998125,-2.202541666666667
US-Var,2000-10-29,2.23703,11.21,1.804,133.555,99.459,9.64,0.958,24.8278,24.8974,296.7886458333333,8.636229166666666
US-Var,2000-10-30,1.64722,10.587,0.008,132.576,99.66,0.5,1.248,22.1758,22.9082,294.6142291666667,27.325416666666666
US-Var,2000-10-31,1.80842,9.947,1.106,134.074,100.019,0.0,1.178,27.5276,20.4946,297.94191666666666,35.01035416666667
US-Var,2000-11-01,2.16421,11.696,4.011,109.888,100.115,0.0,1.181,21.6019,13.2523,244.19554166666668,24.172708333333333
US-Var,2000-11-02,2.29374,11.912,2.777,129.251,99.574,0.0,1.105,25.6584,17.0487,287.2252291666667,31.01458333333333
US-Var,2000-11-03,2.20766,13.158,5.287,122.7,99.461,0.0,1.299,30.6705,19.5062,272.665625,26.033875
US-Var,2000-11-04,2.10272,13.292,6.133,136.843,99.484,0.0,1.336,31.5784,21.9766,304.0949583333333,22.61175
US-Var,2000-11-05,2.2065,11.704,2.754,128.936,99.485,0.0,0.933,21.2782,21.7879,286.52539583333333,32.639604166666665
US-Var,2000-11-06,1.94814,11.955,5.738,121.418,99.212,0.0,2.295,35.3236,11.0823,269.8172083333333,18.518666666666665
US-Var,2000-11-07,2.08481,10.846,6.135,112.651,99.779,0.0,1.115,23.6937,17.8019,250.33658333333327,21.7925
US-Var,2000-11-08,1.96093,12.21,4.685,110.43,99.538,0.0,1.699,23.4471,5.69889,245.3992291666667,18.084020833333334
US-Var,2000-11-09,1.57279,8.191,3.421,109.38,99.104,3.55,0.842,23.4212,26.3062,243.06741666666667,28.921458333333334
US-Var,2000-11-10,1.44221,7.445,2.539,102.571,99.183,6.1,1.323,20.1869,14.2344,227.936,12.750604166666664
US-Var,2000-11-11,1.79933,6.288,3.095,106.646,100.037,0.25,1.403,20.9554,16.802,236.9903958333333,13.2115
US-Var,2000-11-12,1.65307,5.971,4.683,113.985,100.585,0.0,1.278,24.1724,18.2761,253.30047916666663,9.916041666666668
US-Var,2000-11-13,1.37071,5.378,2.363,119.446,100.083,0.76,1.348,18.9171,3.23949,265.43502083333334,3.1988958333333346
US-Var,2000-11-14,1.79149,6.292,2.013,112.003,100.073,0.0,0.927,16.5139,14.1076,248.8963125,7.846833333333333
US-Var,2000-11-15,1.26113,5.25,1.729,111.337,100.202,0.0,1.109,16.9024,16.9602,247.4146875,17.581354166666667
US-Var,2000-11-16,1.68279,6.138,2.425,116.269,100.117,0.0,1.162,16.3238,17.0615,258.3761666666667,7.673333333333335
